EEG,Alpha,delta,gamma,low_beta,high_beta,theta,Attention,Meditation
-2.628759752,0.010449525,0.031378482,0.015445371,0.011852793,0.009811969,0.019200256,25.355632781982422,70.12726593017578
-1.211117213,0.010984596,0.030286472,0.015313242,0.012408135,0.01008376,0.017697476,29.325395584106445,70.47199249267578
-4.303587138,0.011466786,0.026249159,0.015278931,0.012217391,0.010121422,0.018451743,35.204620361328125,67.24988555908203
-2.869958394,0.010183468,0.020388598,0.014188986,0.011945318,0.01071703,0.013248221,39.58208084106445,66.22874450683594
0.681587686,0.009119793,0.015364563,0.015242022,0.011772308,0.010295507,0.009758838,41.71188735961914,65.86371612548828
-7.701293288,0.008068837,0.015576022,0.015737209,0.011908378,0.010992133,0.011998037,40.722206115722656,66.02600860595703
-6.027737897,0.006589416,0.017473755,0.015433032,0.011420274,0.010528424,0.012032069,39.95146942138672,65.87303161621094
1.593414939,0.00698448,0.016284917,0.015090321,0.011822477,0.011391264,0.012204364,41.38740539550781,67.13251495361328
3.872195926,0.007107744,0.017657468,0.014217405,0.011091568,0.011775426,0.012649691,37.13421630859375,68.37122344970703
1.66249424,0.007550132,0.017245101,0.012563522,0.011140731,0.011541218,0.013240538,35.06520080566406,70.17390441894531
0.533171455,0.007627722,0.013417754,0.011802786,0.011627991,0.011501394,0.011094094,37.05791473388672,70.23066711425781
-1.596499335,0.008804966,0.015941758,0.011932174,0.01174555,0.01061646,0.010739832,39.68555450439453,70.23442077636719
-1.025031625,0.007664511,0.015651053,0.01215321,0.011578689,0.009695144,0.011416951,42.1823616027832,68.66938018798828
2.151177809,0.007465483,0.017535245,0.012973903,0.012415987,0.00974849,0.01108428,44.46719741821289,69.00413513183594
3.341759517,0.007057487,0.019314596,0.015129443,0.013363187,0.00991297,0.011062768,47.50834655761719,65.47146606445312
-3.241376412,0.00649936,0.020628614,0.017324151,0.013337668,0.01062905,0.009874115,49.87555694580078,62.5589599609375
0.530809819,0.007275809,0.018264418,0.017129233,0.012790043,0.010321193,0.009878337,50.475860595703125,59.53118896484375
2.671160637,0.007240362,0.021407316,0.017420961,0.012766573,0.010197165,0.009647261,51.12485122680664,58.58689498901367
-1.084936859,0.007355013,0.022316657,0.01704739,0.012183331,0.010512417,0.008048576,51.5943717956543,58.55694580078125
3.554166044,0.007443761,0.022363121,0.016342094,0.012944397,0.011581297,0.010300808,51.07097244262695,61.8777961730957
-0.499582341,0.007074476,0.021187911,0.015958721,0.013586017,0.011486449,0.010483135,50.33156204223633,62.703956604003906
-10.94204201,0.006247763,0.025226127,0.015017024,0.013083901,0.011612457,0.010934154,47.8549690246582,64.00444030761719
-2.277114716,0.006823205,0.027278498,0.015338751,0.01304327,0.011355763,0.010277232,44.38922882080078,66.50791931152344
19.68249463,0.006913085,0.032960977,0.016396197,0.012316459,0.011814387,0.010884558,40.624908447265625,67.31743621826172
0.179569458,0.01096628,0.032311,0.014854993,0.012974248,0.009881498,0.013847132,38.91505432128906,67.67939758300781
-0.90834947,0.011292709,0.03433311,0.014515636,0.014004033,0.01016073,0.0185012,37.75559997558594,66.92902374267578
-10.96665704,0.013286127,0.040242303,0.014790603,0.016515249,0.010440722,0.021359093,34.898006439208984,64.84420776367188
-3.727269697,0.014292175,0.043584831,0.015398911,0.015813008,0.010730198,0.02330862,34.524410247802734,61.380699157714844
-10.03561723,0.014908085,0.039945655,0.015020098,0.016883031,0.010722135,0.025611648,32.55864715576172,58.262908935546875
5.648447086,0.010448691,0.039945353,0.016263558,0.01650559,0.011877306,0.024957709,30.65816879272461,55.41556930541992
1.852398869,0.011478438,0.039716303,0.01658049,0.015099488,0.01239628,0.020956172,28.545406341552734,53.763221740722656
-2.939543142,0.009214837,0.03553953,0.017302979,0.014605463,0.012516774,0.019383691,30.60086441040039,51.160377502441406
0.77954851,0.011699294,0.061549559,0.016665325,0.016340408,0.012730431,0.024328446,32.77645492553711,50.50749969482422
-1.729679142,0.013550837,0.056962457,0.017310208,0.017302699,0.013185092,0.026022159,33.458038330078125,48.68991470336914
-0.222040229,0.012478449,0.06394431,0.014726229,0.016362639,0.01128302,0.027003704,33.2780876159668,48.561363220214844
3.469333849,0.011522417,0.064384989,0.01439295,0.016007859,0.00951561,0.025494456,32.852874755859375,49.26616668701172
5.692115106,0.011072109,0.060318023,0.014649852,0.015407462,0.010219023,0.025105951,31.572677612304688,50.195556640625
5.363637125,0.011846389,0.037929069,0.017095625,0.014888016,0.010283922,0.0230815,29.875215530395508,47.87861251831055
24.37815838,0.011375042,0.046146188,0.015855066,0.013753374,0.010228623,0.032569379,29.152196884155273,47.25017166137695
-30.21354145,0.016591102,0.059840962,0.016100725,0.020278323,0.011865531,0.034199029,29.301090240478516,44.57337951660156
-4.20363616,0.015440173,0.071620926,0.01735164,0.021777494,0.011899582,0.034338165,32.71620559692383,42.77834701538086
6.091711063,0.019078895,0.077221051,0.017843392,0.023362808,0.013638613,0.03861763,35.891605377197266,41.10358810424805
-2.992355135,0.018231826,0.076296367,0.018800262,0.023521069,0.015501587,0.033074189,38.466209411621094,40.157989501953125
-8.844264796,0.016504034,0.071426526,0.020027064,0.02356351,0.014851191,0.033499684,40.41202926635742,39.948795318603516
-3.945792485,0.013986209,0.046334598,0.020669302,0.01777922,0.013403418,0.020845821,41.35918045043945,39.43339538574219
1.896098374,0.012639426,0.036642943,0.019245563,0.01615466,0.012826527,0.01840589,42.133304595947266,40.40022659301758
13.57144076,0.007647136,0.030600883,0.019822801,0.014983894,0.013163146,0.012028869,42.22157287597656,42.73545455932617
3.03461712,0.007379491,0.029282903,0.020608697,0.013904829,0.012421712,0.012370502,41.664615631103516,46.363037109375
1.875161943,0.007452527,0.025874916,0.019090982,0.013524348,0.012098194,0.012619268,40.057159423828125,49.82555389404297
-3.388873882,0.006535737,0.025086274,0.017128812,0.012651229,0.012195462,0.012106813,37.49848556518555,53.346527099609375
6.516735704,0.00724783,0.028987776,0.018284038,0.01271176,0.01296958,0.013279168,32.482791900634766,55.17047119140625
-4.62214073,0.008284124,0.02689857,0.015653307,0.011423652,0.01232351,0.014578423,25.63506317138672,58.480247497558594
-6.384045143,0.007995409,0.028617952,0.014813097,0.010693434,0.010848205,0.013271296,17.426651000976562,62.00218963623047
4.957942077,0.009954614,0.031457681,0.015200599,0.012379991,0.011368086,0.016349068,13.898150444030762,65.42604064941406
2.363456917,0.01026793,0.032284781,0.015960557,0.012861405,0.011891318,0.02068718,13.138859748840332,68.303955078125
-1.40523182,0.010217416,0.031771153,0.016996782,0.012066211,0.009328065,0.017802304,13.601816177368164,70.33229064941406
-1.187297334,0.010446675,0.032186024,0.018606938,0.013756528,0.009630594,0.019441701,13.991943359375,72.32080841064453
11.19555971,0.010346944,0.036197253,0.019052804,0.012866491,0.00865525,0.022155497,15.025205612182617,75.3791732788086
-2.844871675,0.011093833,0.035732921,0.019064024,0.013821429,0.009205234,0.019892883,14.454693794250488,76.05525207519531
-4.261582877,0.009588764,0.032615952,0.021102224,0.012752063,0.009890394,0.022630997,13.206334114074707,78.78514862060547
-3.533805752,0.009924516,0.031171001,0.019435668,0.012135603,0.010010958,0.017510442,11.277830123901367,80.79151916503906
2.103232557,0.010502328,0.034608759,0.018475518,0.013688352,0.01053993,0.015214804,9.605918884277344,82.58229064941406
-2.157239471,0.011181563,0.029706446,0.017497303,0.013233081,0.011701974,0.015432979,8.242024421691895,84.33942413330078
-5.716988052,0.009392063,0.03025056,0.017259855,0.013320877,0.012185835,0.01498914,9.224059104919434,84.83097839355469
11.82263453,0.008936726,0.030375225,0.016927922,0.013240979,0.011776995,0.01445841,10.351329803466797,85.36080932617188
-4.469772392,0.008395765,0.031418968,0.01661055,0.013079097,0.011588429,0.016890109,11.38021183013916,85.22496795654297
-2.801661453,0.009471066,0.042839307,0.015709672,0.011591249,0.011425208,0.018505806,11.508546829223633,85.14209747314453
7.544564132,0.007887405,0.045248039,0.017008103,0.012104443,0.010979168,0.022282995,11.64006233215332,84.89015197753906
-8.718507139,0.008662976,0.046751704,0.016620813,0.012145328,0.011347524,0.019360224,11.587827682495117,84.13692474365234
-3.181949673,0.009265109,0.051252883,0.016245749,0.011926864,0.011303991,0.019573892,12.007064819335938,83.69961547851562
16.55736722,0.010696815,0.054908138,0.016582893,0.012044856,0.012018712,0.020111986,13.741811752319336,84.85967254638672
-5.637723011,0.011426086,0.053502493,0.01774364,0.014019439,0.013605026,0.018653784,16.20784568786621,85.02488708496094
-6.266006598,0.010433685,0.049398851,0.016460843,0.013925533,0.012703929,0.019886129,19.441925048828125,84.95077514648438
-1.832200835,0.011998508,0.045984734,0.016537551,0.014099317,0.012766935,0.018995125,22.08380889892578,85.17743682861328
2.201009138,0.009876214,0.038048591,0.016523231,0.014073023,0.011903248,0.015787767,26.659841537475586,86.1118392944336
9.421292087,0.010235024,0.040663686,0.016303685,0.014574583,0.011229424,0.018691592,26.40616798400879,86.86787414550781
-12.08072556,0.012298679,0.0488391,0.016733689,0.015066005,0.011079334,0.020750729,28.618803024291992,86.99815368652344
-10.92963573,0.012369796,0.049423806,0.015705051,0.014738948,0.011611679,0.020035181,32.70442581176758,86.7970199584961
8.490686771,0.011710762,0.052093025,0.015735054,0.012712172,0.010798712,0.020141073,38.10457229614258,83.89388275146484
14.99028325,0.012369756,0.05641773,0.014905658,0.013116229,0.011526727,0.02231005,40.57936477661133,82.55989074707031
-2.399749916,0.012145555,0.055253673,0.014931148,0.012997886,0.011264519,0.022154689,43.81559753417969,80.99726867675781
-3.744513533,0.011983907,0.04458997,0.014994795,0.01223409,0.011168912,0.017571654,46.61881637573242,80.14225006103516
-8.496186618,0.010888132,0.052628156,0.014496465,0.011852892,0.010026831,0.017872127,47.36750793457031,78.74190521240234
9.253541517,0.010299223,0.051009689,0.013945593,0.011405668,0.011016125,0.018098945,47.04672622680664,78.72220611572266
-9.374243248,0.010332439,0.046045419,0.01438055,0.010299673,0.011541821,0.021529054,48.15106201171875,78.45573425292969
-6.355774335,0.009763036,0.040706214,0.016140802,0.012612991,0.012325468,0.020192973,49.373661041259766,78.5754165649414
-8.118974195,0.009091887,0.042667665,0.014510761,0.011895471,0.010970065,0.019054994,50.237945556640625,78.67668914794922
0.68407784,0.009388641,0.041697241,0.015866376,0.012493789,0.011073409,0.018740041,50.3179931640625,78.90223693847656
-2.509269325,0.010066276,0.041024968,0.016501684,0.013686059,0.011168817,0.018246671,50.22542953491211,79.67500305175781
-1.623345774,0.009086767,0.038691036,0.016615085,0.013798326,0.010086006,0.015928116,49.21238708496094,80.50756072998047
9.594906584,0.008982931,0.043949306,0.016542813,0.013699933,0.01068419,0.017500434,47.47077941894531,81.56478881835938
